辞書,文境界,書字形（＝表層形）,語彙素,語種,書字形(基本形),語形(基本形),語彙素ID
,I,、,、,記号,、,,24
,I,トランプ,トランプ-trump,外,トランプ,トランプ,26748
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,に,に,和,に,ニ,28178
,I,対する,対する,混,対する,タイスル,21823
,I,2,二,漢,2,ニ,28181
,I,度,度,漢,度,ド,26947
,I,目,目,和,目,メ,37242
,I,の,の,和,の,ノ,28989
,I,弾劾,弾劾,漢,弾劾,ダンガイ,23296
,I,の,の,和,の,ノ,28989
,I,決議,決議,漢,決議,ケツギ,11180
,I,案,案,漢,案,アン,1321
,I,が,が,和,が,ガ,7889
,I,下院,下院,漢,下院,カイン,5947
,I,で,で,和,で,デ,25518
,I,可決,可決,漢,可決,カケツ,6285
,I,さ,為る,和,する,スル,19537
,I,れ,れる,和,れる,レル,40741
,I,た,た,和,た,タ,21642
,I,が,が,和,が,ガ,7888
,I,[,［,記号,[,,58
,I,3,三,漢,3,サン,14499
,I,9,九,漢,9,キュウ,8929
,I,],］,記号,],,59
,I,、,、,記号,、,,24
,I,2,二,漢,2,ニ,28181
,I,月,月,漢,月,ガツ,8121
,I,1,一,漢,1,イチ,2050
,I,3,三,漢,3,サン,14499
,I,日,日,漢,日,ニチ,28375
,I,、,、,記号,、,,24
,I,上院,上院,漢,上院,ジョウイン,18491
,I,の,の,和,の,ノ,28989
,I,弾劾,弾劾,漢,弾劾,ダンガイ,23296
,I,裁判,裁判,漢,裁判,サイバン,13810
,I,で,で,和,で,デ,25518
,I,は,は,和,は,ハ,29321
,I,、,、,記号,、,,24
,I,有罪,有罪,漢,有罪,ユウザイ,38651
,I,5,五,漢,5,ゴ,13327
,I,7,七,和,7,ナナ,27908
,I,票,票,漢,票,ヒョウ,31715
,I,、,、,記号,、,,24
,I,無罪,無罪,漢,無罪,ムザイ,37083
,I,4,四,和,4,ヨン,39551
,I,3,三,漢,3,サン,14499
,I,票,票,漢,票,ヒョウ,31715
,I,で,で,和,で,デ,25518
,I,罰則,罰則,漢,罰則,バッソク,30689
,I,に,に,和,に,ニ,28178
,I,必要,必要,漢,必要,ヒツヨウ,31473
,I,な,だ,和,だ,ダ,22916
,I,3,三,漢,3,サン,14499
,I,分,分,漢,分,ブン,51535
,I,の,の,和,の,ノ,28989
,I,2,二,漢,2,ニ,28181
,I,に,に,和,に,ニ,28178
,I,届か,届く,和,届く,トドク,26509
,I,なかっ,ない,和,ない,ナイ,27438
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,同年,同年,漢,同年,ドウネン,27144
,I,1,一,漢,1,イチ,2050
,I,月,月,漢,月,ガツ,8121
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,日,日,和,日,カ,5582
,I,に,に,和,に,ニ,28178
,I,1,一,漢,1,イチ,2050
,I,期,期,漢,期,キ,8255
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
,I,限り,限り,和,限り,カギリ,6117
,I,で,で,和,で,デ,25518
,I,退任,退任,漢,退任,タイニン,21888
,I,を,を,和,を,ヲ,41407
,I,迎え,迎える,和,迎える,ムカエル,37010
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,1,一,漢,1,イチ,2050
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,2,二,漢,2,ニ,28181
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
,I,7,七,和,7,ナナ,27908
,I,月,月,漢,月,ガツ,8121
,I,1,一,漢,1,イチ,2050
,I,3,三,漢,3,サン,14499
,I,日,日,漢,日,ニチ,28375
,I,、,、,記号,、,,24
,I,ドナルド,ドナルド-Donald,固,ドナルド,ドナルド,27311
,I,・,・,記号,・,,44
,I,トランプ,トランプ-trump,外,トランプ,トランプ,26748
,I,暗殺,暗殺,漢,暗殺,アンサツ,1347
,I,未遂,未遂,漢,未遂,ミスイ,36395
,I,事件,事件,漢,事件,ジケン,17811
,I,が,が,和,が,ガ,7889
,I,発生,発生,漢,発生,ハッセイ,29872
,I,。,。,記号,。,,25
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,東部,東部,漢,東部,トウブ,26125
,I,の,の,和,の,ノ,28989
,I,ペンシルベニア,ペンシルベニア,固,ペンシルベニア,ペンシルベニア,34344
,I,州,州,漢,州,シュウ,16041
,I,バトラー,バトラー-butler,外,バトラー,バトラー,134203
,I,にて,にて,和,にて,ニテ,28463
,I,、,、,記号,、,,24
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,2,二,漢,2,ニ,28181
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,合衆,合衆,漢,合衆,ガッシュウ,8103
,I,国,国,漢,国,コク,12504
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,選挙,選挙,漢,選挙,センキョ,20416
,I,に,に,和,に,ニ,28178
,I,出馬,出馬,漢,出馬,シュツバ,16407
,I,する,為る,和,する,スル,19537
,I,ため,為,和,ため,タメ,22686
,I,に,に,和,に,ニ,28178
,I,行っ,行く,和,行く,イク,1713
,I,て,て,和,て,テ,24874
,I,い,居る,和,いる,イル,2585
,I,た,た,和,た,タ,21642
,I,選挙,選挙,漢,選挙,センキョ,20416
,I,集会,集会,漢,集会,シュウカイ,16070
,I,で,で,和,で,デ,25518
,I,の,の,和,の,ノ,28989
,I,演説,演説,漢,演説,エンゼツ,4225
,I,中,中,漢,中,チュウ,23742
,I,に,に,和,に,ニ,28178
,I,銃撃,銃撃,漢,銃撃,ジュウゲキ,18180
,I,さ,為る,和,する,スル,19537
,I,れ,れる,和,れる,レル,40741
,I,、,、,記号,、,,24
,I,右耳,右耳,和,右耳,ミギミミ,36338
,I,を,を,和,を,ヲ,41407
,I,負傷,負傷,漢,負傷,フショウ,32759
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,2,二,漢,2,ニ,28181
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,2,二,漢,2,ニ,28181
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
,I,1,一,漢,1,イチ,2050
,I,1,一,漢,1,イチ,2050
,I,月,月,漢,月,ガツ,8121
,I,6,六,漢,6,ロク,40932
,I,日,日,漢,日,ニチ,28375
,I,、,、,記号,、,,24
,I,2,二,漢,2,ニ,28181
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,2,二,漢,2,ニ,28181
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,合衆,合衆,漢,合衆,ガッシュウ,8103
,I,国,国,漢,国,コク,12504
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,選挙,選挙,漢,選挙,センキョ,20416
,I,が,が,和,が,ガ,7889
,I,開票,開票,漢,開票,カイヒョウ,5886
,I,さ,為る,和,する,スル,19537
,I,れ,れる,和,れる,レル,40741
,I,、,、,記号,、,,24
,I,合衆,合衆,漢,合衆,ガッシュウ,8103
,I,国,国,漢,国,コク,12504
,I,初,初,和,初,ハツ,29902
,I,の,の,和,の,ノ,28989
,I,女性,女性,漢,女性,ジョセイ,18689
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,を,を,和,を,ヲ,41407
,I,目指し,目指す,和,目指す,メザス,37392
,I,た,た,和,た,タ,21642
,I,カマラ,カマラ-Kamala,固,カマラ,カマラ,157838
,I,・,・,記号,・,,44
,I,ハリス,ハリス-Harris,固,ハリス,ハリス,30234
,I,を,を,和,を,ヲ,41407
,I,破り,破る,和,破る,ヤブル,38404
,I,再,再,漢,再,サイ,13627
,I,当選,当選,漢,当選,トウセン,26037
,I,を,を,和,を,ヲ,41407
,I,果たし,果たす,和,果たす,ハタス,29777
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,一,一,漢,一,イチ,2050
,I,度,度,漢,度,ド,26947
,I,落選,落選,漢,落選,ラクセン,39680
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,から,から,和,から,カラ,7219
,I,の,の,和,の,ノ,28989
,I,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,へ,へ,和,へ,ヘ,33819
,I,の,の,和,の,ノ,28989
,I,再選,再選,漢,再選,サイセン,13755
,I,は,は,和,は,ハ,29321
,I,グロ,グロ-grotesque,外,グロ,グロ,82869
,I,バー,バー-bar,外,バー,バー,30880
,I,・,・,記号,・,,44
,I,クリーブランド,クリーブランド-Cleveland,固,クリーブランド,クリーブランド,95387
,I,以来,以来,漢,以来,イライ,2538
,I,1,一,漢,1,イチ,2050
,I,3,三,漢,3,サン,14499
,I,2,二,漢,2,ニ,28181
,I,年,年,漢,年,ネン,28927
,I,ぶり,振り,和,ぶり,ブリ,33471
,I,で,で,和,で,デ,25518
,I,2,二,漢,2,ニ,28181
,I,人,人,漢,人,ニン,28632
,I,目,目,和,目,メ,37242
,I,と,と,和,と,ト,25826
,I,なっ,成る,和,なる,ナル,28061
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,3,三,漢,3,サン,14499
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,大統領,大統領,漢,大統領,ダイトウリョウ,23043
,I,就任,就任,漢,就任,シュウニン,16188
,I,前,前,和,前,マエ,35465
,I,の,の,和,の,ノ,28989
,I,経歴,経歴,漢,経歴,ケイレキ,11074
,I,[,［,記号,[,,58
,I,編集,編集,漢,編集,ヘンシュウ,34038
,I,],］,記号,],,59
,B,生い立ち,生い立ち,和,生い立ち,オイタチ,4373
,I,[,［,記号,[,,58
,I,編集,編集,漢,編集,ヘンシュウ,34038
,I,],］,記号,],,59
,B,ドナルド,ドナルド-Donald,固,ドナルド,ドナルド,27311
,I,・,・,記号,・,,44
,I,トランプ,トランプ-Trump,固,トランプ,トランプ,336043
,I,は,は,和,は,ハ,29321
,I,フレッド,フレッド-Fred,固,フレッド,フレッド,143395
,I,・,・,記号,・,,44
,I,トランプ,トランプ-trump,外,トランプ,トランプ,26748
,I,と,と,和,と,ト,25826
,I,その,其の,和,その,ソノ,21394
,I,妻,妻,和,妻,ツマ,24736
,I,メアリー,メアリー-Mary,固,メアリー,メアリー,37247
,I,・,・,記号,・,,44
,I,アン,アン-Anne,固,アン,アン,1318
,I,の,の,和,の,ノ,28989
,I,第,第,漢,第,ダイ,22937
,I,4,四,和,4,ヨン,39551
,I,子,子,漢,子,シ,14935
,I,と,と,和,と,ト,25826
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,、,、,記号,、,,24
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,4,四,和,4,ヨン,39551
,I,6,六,漢,6,ロク,40932
,I,年,年,漢,年,ネン,28927
,I,6,六,漢,6,ロク,40932
,I,月,月,漢,月,ガツ,8121
,I,1,一,漢,1,イチ,2050
,I,4,四,和,4,ヨン,39551
,I,日,日,和,日,カ,5582
,I,に,に,和,に,ニ,28178
,I,ニューヨーク,ニューヨーク,固,ニューヨーク,ニューヨーク,28604
,I,市,市,漢,市,シ,14936
,I,クイーンズ,クイーン-queen,外,クイーンズ,クイーンズ,43926
,I,区,区,漢,区,ク,9997
,I,で,で,和,で,デ,25518
,I,誕生,誕生,漢,誕生,タンジョウ,22830
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,4,四,和,4,ヨン,39551
,I,],］,記号,],,59
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,5,五,漢,5,ゴ,13327
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,父,父,和,父,チチ,23553
,I,の,の,和,の,ノ,28989
,I,フレッド,フレッド-Fred,固,フレッド,フレッド,143395
,I,は,は,和,は,ハ,29321
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,5,五,漢,5,ゴ,13327
,I,年,年,漢,年,ネン,28927
,I,1,一,漢,1,イチ,2050
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,月,月,漢,月,ガツ,8121
,I,生まれ,生まれ,和,生まれ,ウマレ,3371
,I,の,の,和,の,ノ,28989
,I,ドイツ,ドイツ-Duits,固,ドイツ,ドイツ,26955
,I,系,系,漢,系,ケイ,10879
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,人,人,漢,人,ジン,18765
,I,で,だ,和,だ,ダ,22916
,I,あり,有る,和,ある,アル,1216
,I,、,、,記号,、,,24
,I,ニューヨーク,ニューヨーク,固,ニューヨーク,ニューヨーク,28604
,I,市,市,漢,市,シ,14936
,I,の,の,和,の,ノ,28989
,I,富裕,富裕,漢,富裕,フユウ,33035
,I,な,だ,和,だ,ダ,22916
,I,不,不,漢,不,フ,32288
,I,動産,動産,漢,動産,ドウサン,27054
,I,開発,開発,漢,開発,カイハツ,5876
,I,業,業,漢,業,ギョウ,9884
,I,者,者,漢,者,シャ,15852
,I,で,だ,和,だ,ダ,22916
,I,あっ,有る,和,ある,アル,1216
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,ドナルド,ドナルド-Donald,固,ドナルド,ドナルド,27311
,I,の,の,和,の,ノ,28989
,I,父方,父方,和,父方,チチカタ,23556
,I,の,の,和,の,ノ,28989
,I,祖父,祖父,漢,祖父,ソフ,21414
,I,フレデリック,フレデリック-Frederick,固,フレデリック,フレデリック,33199
,I,・,・,記号,・,,44
,I,トランプ,トランプ-Trump,固,トランプ,トランプ,336043
,I,は,は,和,は,ハ,29321
,I,もともと,元々,和,もともと,モトモト,37856
,I,ドイツ,ドイツ-Duits,固,ドイツ,ドイツ,26955
,I,人,人,漢,人,ジン,18765
,I,で,だ,和,だ,ダ,22916
,I,、,、,記号,、,,24
,I,1,一,漢,1,イチ,2050
,I,8,八,漢,8,ハチ,29802
,I,8,八,漢,8,ハチ,29802
,I,5,五,漢,5,ゴ,13327
,I,年,年,漢,年,ネン,28927
,I,1,一,漢,1,イチ,2050
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,月,月,漢,月,ガツ,8121
,I,に,に,和,に,ニ,28178
,I,ドイツ,ドイツ-Duits,固,ドイツ,ドイツ,26955
,I,の,の,和,の,ノ,28989
,I,ラインラント,ラインラント,固,ラインラント,ラインラント,181737
,I,＝,＝,記号,＝,,55
,I,プファルツ,プファルツ,固,プファルツ,プファルツ,213180
,I,州,州,漢,州,シュウ,16041
,I,カルシュタット,,,,,　
,I,（,（,記号,（,,46
,I,ドイツ,ドイツ-Duits,固,ドイツ,ドイツ,26955
,I,語,語,漢,語,ゴ,13334
,I,版,版,漢,版,ハン,30308
,I,）,）,記号,）,,49
,I,から,から,和,から,カラ,7219
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,に,に,和,に,ニ,28178
,I,渡っ,渡る,和,渡る,ワタル,41291
,I,た,た,和,た,タ,21642
,I,移民,移民,漢,移民,イミン,2498
,I,で,だ,和,だ,ダ,22916
,I,あっ,有る,和,ある,アル,1216
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,ドナルド,ドナルド-Donald,固,ドナルド,ドナルド,27311
,I,の,の,和,の,ノ,28989
,I,母,母,和,母,ハハ,30052
,I,メアリー,メアリー-Mary,固,メアリー,メアリー,37247
,I,は,は,和,は,ハ,29321
,I,、,、,記号,、,,24
,I,スコットランド,スコットランド-Scotland,固,スコットランド,スコットランド,19156
,I,の,の,和,の,ノ,28989
,I,ルイス,ルイス-Lewis,固,ルイス,ルイス,97349
,I,島生まれ,島生まれ,和,島生まれ,シマウマレ,213502
,I,で,で,和,で,デ,25518
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,3,三,漢,3,サン,14499
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,年,年,漢,年,ネン,28927
,I,5,五,漢,5,ゴ,13327
,I,月,月,漢,月,ガツ,8121
,I,に,に,和,に,ニ,28178
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,に,に,和,に,ニ,28178
,I,渡っ,渡る,和,渡る,ワタル,41291
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,I,ドナルド,ドナルド-Donald,固,ドナルド,ドナルド,27311
,I,の,の,和,の,ノ,28989
,I,両親,両親,漢,両親,リョウシン,40259
,I,は,は,和,は,ハ,29321
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,3,三,漢,3,サン,14499
,I,6,六,漢,6,ロク,40932
,I,年,年,漢,年,ネン,28927
,I,1,一,漢,1,イチ,2050
,I,月,月,漢,月,ガツ,8121
,I,に,に,和,に,ニ,28178
,I,結婚,結婚,漢,結婚,ケッコン,11131
,I,し,為る,和,する,スル,19537
,I,、,、,記号,、,,24
,I,5,五,漢,5,ゴ,13327
,I,人,人,漢,人,ニン,28632
,I,の,の,和,の,ノ,28989
,I,兄妹,兄弟,漢,兄妹,キョウダイ,9278
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,6,六,漢,6,ロク,40932
,I,],］,記号,],,59
,I,（,（,記号,（,,46
,I,長女,長女,漢,長女,チョウジョ,24036
,I,・,・,記号,・,,44
,I,長男,長男,漢,長男,チョウナン,24076
,I,・,・,記号,・,,44
,I,次女,次女,漢,次女,ジジョ,17865
,I,・,・,記号,・,,44
,I,次男,次男,漢,次男,ジナン,18005
,I,（,（,記号,（,,46
,I,ドナルド,ドナルド-Donald,固,ドナルド,ドナルド,27311
,I,）,）,記号,）,,49
,I,・,・,記号,・,,44
,I,三,三,漢,三,サン,14499
,I,男,男,漢,男,ナン,198907
,I,）,）,記号,）,,49
,I,を,を,和,を,ヲ,41407
,I,もうけ,儲ける,和,もうける,モウケル,37580
,I,た,た,和,た,タ,21642
,I,。,。,記号,。,,25
,B,青年,青年,漢,青年,セイネン,19953
,I,期,期,漢,期,キ,8255
,I,と,と,和,と,ト,25826
,I,教育,教育,漢,教育,キョウイク,9155
,I,[,［,記号,[,,58
,I,編集,編集,漢,編集,ヘンシュウ,34038
,I,],］,記号,],,59
,B,:n:ニューヨーク,ニューヨーク,固,ニューヨーク,ニューヨーク,28604
,I,・,・,記号,・,,44
,I,ミリタリー,ミリタリー-military,外,ミリタリー,ミリタリー,86756
,I,アカデミー,アカデミー-academy,外,アカデミー,アカデミー,337
,I,在学,在学,漢,在学,ザイガク,14772
,I,時代,時代,漢,時代,ジダイ,17915
,I,（,（,記号,（,,46
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,6,六,漢,6,ロク,40932
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
,I,4,四,和,4,ヨン,39551
,I,月,月,漢,月,ガツ,8121
,I,）,）,記号,）,,49
,B,少年,少年,漢,少年,ショウネン,16804
,I,期,期,漢,期,キ,8255
,I,は,は,和,は,ハ,29321
,I,クイーンズ,クイーン-queen,外,クイーンズ,クイーンズ,43926
,I,区,区,漢,区,ク,9997
,I,ジャマイカ,ジャマイカ-Jamaica,固,ジャマイカ,ジャマイカ,18119
,I,地区,地区,漢,地区,チク,23467
,I,の,の,和,の,ノ,28989
,I,ミッドランド,ミッドランド-midland,外,ミッドランド,ミッドランド,93754
,I,・,・,記号,・,,44
,I,パーク,パーク-park,外,パーク,パーク,31066
,I,ハイウェイ,ハイウエー-highway,外,ハイウェイ,ハイウェイ,29347
,I,沿い,沿い,和,沿い,ソイ,20930
,I,で,で,和,で,デ,25518
,I,暮らし,暮らす,和,暮らす,クラス,10432
,I,、,、,記号,、,,24
,I,1,一,漢,1,イチ,2050
,I,3,三,漢,3,サン,14499
,I,歳,歳,漢,歳,サイ,13634
,I,まで,まで,和,まで,マデ,35891
,I,は,は,和,は,ハ,29321
,I,父,父,和,父,チチ,23553
,I,が,が,和,が,ガ,7889
,I,運営,運営,漢,運営,ウンエイ,3574
,I,委員,委員,漢,委員,イイン,1569
,I,を,を,和,を,ヲ,41407
,I,務める,勤める,和,務める,ツトメル,24663
,I,フォレスト,フォレスト-forest,外,フォレスト,フォレスト,32488
,I,・,・,記号,・,,44
,I,ヒルズ,ヒル-hill,外,ヒルズ,ヒルズ,83832
,I,地区,地区,漢,地区,チク,23467
,I,の,の,和,の,ノ,28989
,I,学校,学校,漢,学校,ガッコウ,8098
,I,に,に,和,に,ニ,28178
,I,通っ,通う,和,通う,カヨウ,7214
,I,て,て,和,て,テ,24874
,I,い,居る,和,いる,イル,2585
,I,た,た,和,た,タ,21642
,I,が,が,和,が,ガ,7888
,I,、,、,記号,、,,24
,I,ドナルド,ドナルド-Donald,固,ドナルド,ドナルド,27311
,I,の,の,和,の,ノ,28989
,I,繰り返さ,繰り返す,和,繰り返す,クリカエス,10479
,I,れる,れる,和,れる,レル,40741
,I,不良,不良,漢,不良,フリョウ,33129
,I,行為,行為,漢,行為,コウイ,11874
,I,が,が,和,が,ガ,7889
,I,原因,原因,漢,原因,ゲンイン,11624
,I,で,で,和,で,デ,25518
,I,、,、,記号,、,,24
,I,ニューヨーク,ニューヨーク,固,ニューヨーク,ニューヨーク,28604
,I,・,・,記号,・,,44
,I,ミリタリー,ミリタリー-military,外,ミリタリー,ミリタリー,86756
,I,・,・,記号,・,,44
,I,アカデミー,アカデミー-academy,外,アカデミー,アカデミー,337
,I,（,（,記号,（,,46
,I,英語,英語,漢,英語,エイゴ,3653
,I,版,版,漢,版,ハン,30308
,I,）,）,記号,）,,49
,I,（,（,記号,（,,46
,I,陸軍,陸軍,漢,陸軍,リクグン,39932
,I,幼年,幼年,漢,幼年,ヨウネン,39135
,I,学校,学校,漢,学校,ガッコウ,8098
,I,の,の,和,の,ノ,28989
,I,ひと,一,和,ひと,ヒト,31499
,I,つ,つ,和,つ,ツ,24322
,I,）,）,記号,）,,49
,I,に,に,和,に,ニ,28178
,I,転入,転入,漢,転入,テンニュウ,25458
,I,さ,為る,和,する,スル,19537
,I,せ,せる,和,せる,セル,20355
,I,られ,られる,和,られる,ラレル,39787
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,7,七,和,7,ナナ,27908
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,6,六,漢,6,ロク,40932
,I,4,四,和,4,ヨン,39551
,I,年,年,漢,年,ネン,28927
,I,から,から,和,から,カラ,7219
,I,ブロンクス,ブロンクス-Bronx,固,ブロンクス,ブロンクス,33535
,I,区,区,漢,区,ク,9997
,I,の,の,和,の,ノ,28989
,I,フォー,フォー-for,外,フォー,フォー,32492
,I,ダム,ダム-dam,外,ダム,ダム,23255
,I,大学,大学,漢,大学,ダイガク,22965
,I,に,に,和,に,ニ,28178
,I,2,二,漢,2,ニ,28181
,I,年,年,漢,年,ネン,28927
,I,通っ,通う,和,通う,カヨウ,7214
,I,た,た,和,た,タ,21642
,I,後,後,和,後,アト,856
,I,に,に,和,に,ニ,28178
,I,ペンシルベニア,ペンシルベニア,固,ペンシルベニア,ペンシルベニア,34344
,I,大学,大学,漢,大学,ダイガク,22965
,I,に,に,和,に,ニ,28178
,I,入り,入る,和,入る,ハイル,29490
,I,、,、,記号,、,,24
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,6,六,漢,6,ロク,40932
,I,8,八,漢,8,ハチ,29802
,I,年,年,漢,年,ネン,28927
,I,に,に,和,に,ニ,28178
,I,経済,経済,漢,経済,ケイザイ,10945
,I,学士,学士,漢,学士,ガクシ,8011
,I,号,号,漢,号,ゴウ,13340
,I,を,を,和,を,ヲ,41407
,I,取得,取得,漢,取得,シュトク,16419
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,卒業,卒業,漢,卒業,ソツギョウ,21358
,I,し,為る,和,する,スル,19537
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,8,八,漢,8,ハチ,29802
,I,],］,記号,],,59
,I,[,［,記号,[,,58
,I,4,四,和,4,ヨン,39551
,I,9,九,漢,9,キュウ,8929
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,I,卒業,卒業,漢,卒業,ソツギョウ,21358
,I,後,後,漢,後,ゴ,13330
,I,に,に,和,に,ニ,28178
,I,父親,父親,和,父親,チチオヤ,23555
,I,が,が,和,が,ガ,7889
,I,経営,経営,漢,経営,ケイエイ,10896
,I,する,為る,和,する,スル,19537
,I,エリザベス,エリザベス-Elizabeth,固,エリザベス,エリザベス,4097
,I,・,・,記号,・,,44
,I,トランプ,トランプ-Trump,固,トランプ,トランプ,336043
,I,・,・,記号,・,,44
,I,アンド,アンド-and,外,アンド,アンド,1401
,I,・,・,記号,・,,44
,I,サン,サン-sun,外,サン,サン,14496
,I,に,に,和,に,ニ,28178
,I,入社,入社,漢,入社,ニュウシャ,28538
,I,し,為る,和,する,スル,19537
,I,て,て,和,て,テ,24874
,I,、,、,記号,、,,24
,I,仕事,仕事,和,仕事,シゴト,15251
,I,を,を,和,を,ヲ,41407
,I,通じ,通ずる,混,通ずる,ツウズル,24416
,I,て,て,和,て,テ,24874
,I,不,不,漢,不,フ,32288
,I,動産,動産,漢,動産,ドウサン,27054
,I,管理,管理,漢,管理,カンリ,7847
,I,など,など,和,など,ナド,27905
,I,の,の,和,の,ノ,28989
,I,知識,知識,漢,知識,チシキ,23524
,I,を,を,和,を,ヲ,41407
,I,身,身,和,身,ミ,36235
,I,に,に,和,に,ニ,28178
,I,つけ,付ける,和,つける,ツケル,24585
,I,た,た,和,た,タ,21642
,I,[,［,記号,[,,58
,I,5,五,漢,5,ゴ,13327
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,],］,記号,],,59
,I,。,。,記号,。,,25
,B,経営,経営,漢,経営,ケイエイ,10896
,I,の,の,和,の,ノ,28989
,I,開始,開始,漢,開始,カイシ,5736
,I,[,［,記号,[,,58
,I,編集,編集,漢,編集,ヘンシュウ,34038
,I,],］,記号,],,59
,B,父親,父親,和,父親,チチオヤ,23555
,I,から,から,和,から,カラ,7219
,I,の,の,和,の,ノ,28989
,I,支援,支援,漢,支援,シエン,15014
,I,を,を,和,を,ヲ,41407
,I,受け,受ける,和,受ける,ウケル,3089
,I,て,て,和,て,テ,24874
,I,、,、,記号,、,,24
,I,1,一,漢,1,イチ,2050
,I,9,九,漢,9,キュウ,8929
,I,7,七,和,7,ナナ,27908
,I,0,ゼロ-zero,外,0,ゼロ,20754
,I,年,年,漢,年,ネン,28927
,I,代,代,漢,代,ダイ,22925
,I,から,から,和,から,カラ,7219
,I,ニューヨーク,ニューヨーク,固,ニューヨーク,ニューヨーク,28604
,I,州,州,漢,州,シュウ,16041
,I,など,など,和,など,ナド,27905
,I,の,の,和,の,ノ,28989
,I,アメリカ,アメリカ-America,固,アメリカ,アメリカ,1061
,I,東,東,和,東,ヒガシ,31164
,I,海岸,海岸,漢,海岸,カイガン,5664
,I,を,を,和,を,ヲ,41407
